"rank","code","code_orig","count","source"
"415","j5lte","j5ltexx","368","https://stats.lineageos.org/"
"416","x3","x3","366","https://stats.lineageos.org/"
"417","gts28wifi","gts28wifi","361","https://stats.lineageos.org/"
"418","vegetalte","vegetalte","358","https://stats.lineageos.org/"
"419","n8010","n8010","358","https://stats.lineageos.org/"
"420","meilan2","meilan2","356","https://stats.lineageos.org/"
"421","smi","smi","354","https://stats.lineageos.org/"
"422","serranovelte","serranoveltexx","353","https://stats.lineageos.org/"
"423","hummingbird","hummingbird","353","https://stats.lineageos.org/"
"424","owens","owens","351","https://stats.lineageos.org/"
"425","o5prolte","o5prolte","351","https://stats.lineageos.org/"
"426","trlteduos","trlteduos","351","https://stats.lineageos.org/"
"427","kylepro","kylepro","350","https://stats.lineageos.org/"
"428","mt6795","mt6795","349","https://stats.lineageos.org/"
"429","P350","P350","347","https://stats.lineageos.org/"
"430","celox","celox","346","https://stats.lineageos.org/"
"431","jasmine_sprout","jasmine_sprout","346","https://stats.lineageos.org/"
"432","lineage_j7elte","lineage_j7eltexx","344","https://stats.lineageos.org/"
"433","gts28velte","gts28velte","343","https://stats.lineageos.org/"
"434","z2_row","z2_row","342","https://stats.lineageos.org/"
"435","nx563j","nx563j","338","https://stats.lineageos.org/"
"436","p3110","p3110","333","https://stats.lineageos.org/"
"437","virgo","virgo","332","https://stats.lineageos.org/"
"438","walleye","walleye","331","https://stats.lineageos.org/"
"439","ysl","ysl","328","https://stats.lineageos.org/"
"440","YTX703L","YTX703L","326","https://stats.lineageos.org/"
"441","guacamole","guacamole","325","https://stats.lineageos.org/"
"442","grandprimevelte","grandprimevelte","324","https://stats.lineageos.org/"
"443","gts210velte","gts210velte","322","https://stats.lineageos.org/"
"444","ttab","ttab","320","https://stats.lineageos.org/"
"445","a5dwg","a5dwg","320","https://stats.lineageos.org/"
"446","gohan","gohan","319","https://stats.lineageos.org/"
"447","gts28lte","gts28ltexx","319","https://stats.lineageos.org/"
"448","fugu","fugu","316","https://stats.lineageos.org/"
"449","d800","d800","313","https://stats.lineageos.org/"
"450","wayne","wayne","311","https://stats.lineageos.org/"
"451","r7plus","r7plus","306","https://stats.lineageos.org/"
"452","Z00D","Z00D","304","https://stats.lineageos.org/"
"453","A102","A102","303","https://stats.lineageos.org/"
"454","hiaeuhl","hiaeuhl","302","https://stats.lineageos.org/"
"455","omega","omega","301","https://stats.lineageos.org/"
"456","jem","jem","300","https://stats.lineageos.org/"
"457","X00I","X00I","299","https://stats.lineageos.org/"
"458","j5xnlte","j5xnltexx","298","https://stats.lineageos.org/"
"459","p839v55","p839v55","298","https://stats.lineageos.org/"
"460","shamrock","shamrock","295","https://stats.lineageos.org/"
"461","kltechnduo","kltechnduo","294","https://stats.lineageos.org/"
"462","taimen","taimen","293","https://stats.lineageos.org/"
"463","Z01R","Z01R","292","https://stats.lineageos.org/"
"464","latte","latte","291","https://stats.lineageos.org/"
"465","lt01lte","lt01lte","290","https://stats.lineageos.org/"
"466","gprimelte","gprimeltexx","290","https://stats.lineageos.org/"
"467","tuna","tuna","287","https://stats.lineageos.org/"
"468","JoyTV","JoyTV","286","https://stats.lineageos.org/"
"469","fortunafz","fortunafz","285","https://stats.lineageos.org/"
"470","nicklaus","nicklaus","285","https://stats.lineageos.org/"
"471","gt58wifi","gt58wifi","285","https://stats.lineageos.org/"
"472","C46B2H","C46B2H","281","https://stats.lineageos.org/"
